统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-02,00-23,210213,4216334810,4224259036,0.9981241145648342
nf固网关联率,2025-08-02,00-23,220214,2449243096,2452641636,0.9986143348664901
nf固网关联率,2025-08-02,00-23,230215,1646888148,1648290256,0.9991493561313634
nf移网关联率,2025-08-02,00-23,210213,1266822485,1285392188,0.9855532784675676
nf移网关联率,2025-08-02,00-23,220214,1189487613,1202729269,0.988990326966093
nf移网关联率,2025-08-02,00-23,230215,824051904,829306883,0.9936634084345348
pr固网关联率,2025-08-02,00-23,210213,168482847,169977784,0.9912051036034215
pr固网关联率,2025-08-02,00-23,220214,444847178,447486296,0.9941023490024374
pr固网关联率,2025-08-02,00-23,230215,141921697,143403100,0.9896696584662396
pr移网关联率,2025-08-02,00-23,210213,60895954,60946841,0.9991650592686174
pr移网关联率,2025-08-02,00-23,220214,193914225,193971021,0.9997071933750351
pr移网关联率,2025-08-02,00-23,230215,58936356,58945008,0.9998532191224743
nf固网关联准确率,2025-08-02,00-23,210213,2305939523,2306639382,0.9996965893301478
nf固网关联准确率,2025-08-02,00-23,220214,1481193172,1481920867,0.9995089515127261
nf固网关联准确率,2025-08-02,00-23,230215,1057387560,1058266300,0.9991696418944834
nf移网关联准确率,2025-08-02,00-23,210213,1056357969,1056720600,0.9996568336038874
nf移网关联准确率,2025-08-02,00-23,220214,973281579,973353656,0.9999259498337981
nf移网关联准确率,2025-08-02,00-23,230215,713590891,713895642,0.9995731154778502
pr固网关联准确率,2025-08-02,00-23,210213,94021734,94037087,0.9998367346279027
pr固网关联准确率,2025-08-02,00-23,220214,270384724,270470928,0.9996812818270805
pr固网关联准确率,2025-08-02,00-23,230215,90711360,90724591,0.9998541630240031
pr移网关联准确率,2025-08-02,00-23,210213,50542397,50576184,0.9993319582987914
pr移网关联准确率,2025-08-02,00-23,220214,164594584,164632216,0.9997714177643092
pr移网关联准确率,2025-08-02,00-23,230215,51130320,51151188,0.9995920329357746
