统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-28,00-23,210213,2806305385,2808621968,0.9991751887486483
nf固网关联率,2025-07-28,00-23,220214,2009363832,2052857766,0.9788129822141803
nf固网关联率,2025-07-28,00-23,230215,1674825931,1676046063,0.9992720176211529
nf移网关联率,2025-07-28,00-23,210213,1284609955,1302385273,0.9863517206709078
nf移网关联率,2025-07-28,00-23,220214,1146660675,1175896257,0.9751376179437911
nf移网关联率,2025-07-28,00-23,230215,824140016,828930185,0.994221263639953
nf固网关联准确率,2025-07-28,00-23,210213,1642323029,1643300775,0.9994050109299072
nf固网关联准确率,2025-07-28,00-23,220214,1027050201,1247361482,0.8233781592752437
nf固网关联准确率,2025-07-28,00-23,230215,1079703634,1080850331,0.998939078827927
nf移网关联准确率,2025-07-28,00-23,210213,1069391738,1069782303,0.9996349117022176
nf移网关联准确率,2025-07-28,00-23,220214,770636518,943229265,0.8170193044211791
nf移网关联准确率,2025-07-28,00-23,230215,715795661,716049875,0.9996449772440782
