统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-20,00-23,210213,415502828,416189620,0.9983498098775265
nf固网关联率,2025-08-20,00-23,220214,2529434133,2531346949,0.9992443485470233
nf固网关联率,2025-08-20,00-23,230215,1502691584,1503952327,0.9991617134550302
nf移网关联率,2025-08-20,00-23,210213,1352185535,1374240532,0.9839511377474056
nf移网关联率,2025-08-20,00-23,220214,1286847481,1301203258,0.9889673062899755
nf移网关联率,2025-08-20,00-23,230215,889813959,895012916,0.9941911933257508
pr固网关联率,2025-08-20,00-23,210213,326070418,329529035,0.9895043634015437
pr固网关联率,2025-08-20,00-23,220214,513891379,518028664,0.9920134052659294
pr固网关联率,2025-08-20,00-23,230215,140580188,143262793,0.9812749357748456
pr移网关联率,2025-08-20,00-23,210213,85046762,85104113,0.9993261077757781
pr移网关联率,2025-08-20,00-23,220214,234725964,234823284,0.9995855606891181
pr移网关联率,2025-08-20,00-23,230215,58764449,58774002,0.9998374621486554
nf固网关联准确率,2025-08-20,00-23,210213,2570235066,2571897190,0.9993537362199147
nf固网关联准确率,2025-08-20,00-23,220214,1630335215,1631227562,0.9994529598317319
nf固网关联准确率,2025-08-20,00-23,230215,848562945,849019277,0.9994625186820111
nf移网关联准确率,2025-08-20,00-23,210213,1133402814,1134017940,0.9994575694278699
nf移网关联准确率,2025-08-20,00-23,220214,1050835107,1050918211,0.9999209224855653
nf移网关联准确率,2025-08-20,00-23,230215,767882522,768338085,0.9994070800225919
pr固网关联准确率,2025-08-20,00-23,210213,218896668,218954883,0.9997341233079511
pr固网关联准确率,2025-08-20,00-23,220214,313022282,313087979,0.9997901644125404
pr固网关联准确率,2025-08-20,00-23,230215,88963734,88978568,0.9998332856963937
pr移网关联准确率,2025-08-20,00-23,210213,68573278,68619937,0.9993200372655545
pr移网关联准确率,2025-08-20,00-23,220214,194432732,194478201,0.9997662000174508
pr移网关联准确率,2025-08-20,00-23,230215,50993848,51019480,0.9994976036604057
