统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-23,00-23,210213,3321536569,3324979325,0.9989645782233548
nf固网关联率,2025-08-23,00-23,220214,1989076404,1990855831,0.9991061999707401
nf固网关联率,2025-08-23,00-23,230215,1703276480,1705050032,0.9989598240716023
nf移网关联率,2025-08-23,00-23,210213,1265511031,1285084594,0.984768657961205
nf移网关联率,2025-08-23,00-23,220214,1217658532,1230294941,0.9897289596348913
nf移网关联率,2025-08-23,00-23,230215,853192990,858464866,0.9938589496101754
pr固网关联率,2025-08-23,00-23,210213,324724939,327071420,0.9928257840443534
pr固网关联率,2025-08-23,00-23,220214,497779173,500562638,0.9944393272915427
pr固网关联率,2025-08-23,00-23,230215,141032373,142261147,0.9913625467957179
pr移网关联率,2025-08-23,00-23,210213,81225220,81299635,0.9990846822375032
pr移网关联率,2025-08-23,00-23,220214,231663873,231754196,0.9996102637986326
pr移网关联率,2025-08-23,00-23,230215,58500932,58510491,0.9998366275887174
nf固网关联准确率,2025-08-23,00-23,210213,1901183338,1902073285,0.9995321173968331
nf固网关联准确率,2025-08-23,00-23,220214,1282869049,1283580380,0.9994458227851691
nf固网关联准确率,2025-08-23,00-23,230215,1014952829,1015518449,0.9994430234127633
