统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-28,00-23,210213,2647771825,2649428240,0.9993748028442544
nf固网关联率,2025-08-28,00-23,220214,1992863133,2048899378,0.9726505627354434
nf固网关联率,2025-08-28,00-23,230215,1280243754,1281583805,0.9989543789530019
nf移网关联率,2025-08-28,00-23,210213,1007630175,1023260801,0.9847246899473481
nf移网关联率,2025-08-28,00-23,220214,985250584,1013447971,0.9721767788708711
nf移网关联率,2025-08-28,00-23,230215,715288610,719682904,0.993894124793605
pr固网关联率,2025-08-28,00-23,210213,328516070,332228423,0.9888259018705332
pr固网关联率,2025-08-28,00-23,220214,547157556,576596596,0.9489434377444712
pr固网关联率,2025-08-28,00-23,230215,148177191,149733652,0.9896051356578146
pr移网关联率,2025-08-28,00-23,210213,77312386,77418149,0.9986338733053408
pr移网关联率,2025-08-28,00-23,220214,227489514,238100945,0.9554330580250322
pr移网关联率,2025-08-28,00-23,230215,56388842,56404273,0.9997264214361915
nf固网关联准确率,2025-08-28,00-23,210213,1373584549,1374452850,0.9993682569758577
nf固网关联准确率,2025-08-28,00-23,220214,953631977,1117124381,0.8536488803031504
nf固网关联准确率,2025-08-28,00-23,230215,773073614,773541808,0.999394739889741
nf移网关联准确率,2025-08-28,00-23,210213,832065070,832374458,0.9996283067109683
nf移网关联准确率,2025-08-28,00-23,220214,730622787,812491766,0.8992371585461705
nf移网关联准确率,2025-08-28,00-23,230215,620411060,620681278,0.9995646429019566
pr固网关联准确率,2025-08-28,00-23,210213,188072431,188096612,0.9998714437238242
pr固网关联准确率,2025-08-28,00-23,220214,274041450,334177070,0.8200486346953727
pr固网关联准确率,2025-08-28,00-23,230215,94009098,94035708,0.9997170223889844
pr移网关联准确率,2025-08-28,00-23,210213,63697110,63736913,0.9993755110166694
pr移网关联准确率,2025-08-28,00-23,220214,161388091,188963053,0.8540722032047185
pr移网关联准确率,2025-08-28,00-23,230215,48993370,49015872,0.9995409242132834
