统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-14,00-23,210213,3557705654,3559766472,0.9994210805635118
nf固网关联率,2025-08-14,00-23,220214,2271155590,2272984753,0.9991952594501191
nf固网关联率,2025-08-14,00-23,230215,1376389340,1377842705,0.9989451880140411
nf移网关联率,2025-08-14,00-23,210213,1328752442,1348582843,0.9852953779569922
nf移网关联率,2025-08-14,00-23,220214,1246048997,1258586449,0.9900384657645396
nf移网关联率,2025-08-14,00-23,230215,858900707,864219456,0.9938456037259129
pr固网关联率,2025-08-14,00-23,210213,306611506,309426703,0.9909018938161908
pr固网关联率,2025-08-14,00-23,220214,571400247,575591705,0.9927180013825946
pr固网关联率,2025-08-14,00-23,230215,143908767,145539843,0.9887929245601839
pr移网关联率,2025-08-14,00-23,210213,77592880,77651919,0.9992396968322187
pr移网关联率,2025-08-14,00-23,220214,232069260,232187085,0.9994925428345853
pr移网关联率,2025-08-14,00-23,230215,56975696,56989417,0.999759235999905
nf固网关联准确率,2025-08-14,00-23,210213,1978737746,1979746700,0.9994903620751079
nf固网关联准确率,2025-08-14,00-23,220214,1435868896,1437278222,0.999019448024448
nf固网关联准确率,2025-08-14,00-23,230215,809945734,810517908,0.9992940637161097
nf移网关联准确率,2025-08-14,00-23,210213,1108263655,1108693617,0.9996121904253734
nf移网关联准确率,2025-08-14,00-23,220214,1022273600,1022351967,0.9999233463596398
