统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-15,00-23,210213,3722398650,3725027180,0.9992943595112238
nf固网关联率,2025-08-15,00-23,220214,2465455206,2468339487,0.9988314893412391
nf固网关联率,2025-08-15,00-23,230215,1643173657,1645453988,0.9986141630111629
nf移网关联率,2025-08-15,00-23,210213,1288637622,1308829975,0.9845722107640452
nf移网关联率,2025-08-15,00-23,220214,1184304878,1196493397,0.9898131330849291
nf移网关联率,2025-08-15,00-23,230215,883614576,889515282,0.9933663804103143
pr固网关联率,2025-08-15,00-23,210213,290443560,292027950,0.9945745261712107
pr固网关联率,2025-08-15,00-23,220214,546913027,549925348,0.9945223092353255
pr固网关联率,2025-08-15,00-23,230215,137196896,138538874,0.9903133469960208
pr移网关联率,2025-08-15,00-23,210213,76441161,76500806,0.9992203350118952
pr移网关联率,2025-08-15,00-23,220214,225792875,225882354,0.9996038690122735
pr移网关联率,2025-08-15,00-23,230215,55695308,55705263,0.9998212915716779
nf固网关联准确率,2025-08-15,00-23,210213,2069435804,2070283004,0.9995907805848944
nf固网关联准确率,2025-08-15,00-23,220214,1467264171,1467976141,0.9995149989294002
nf固网关联准确率,2025-08-15,00-23,230215,979570648,980412146,0.9991416895400234
nf移网关联准确率,2025-08-15,00-23,210213,1091618592,1092090166,0.9995681913319234
nf移网关联准确率,2025-08-15,00-23,220214,956716459,956797056,0.9999157637458282
nf移网关联准确率,2025-08-15,00-23,230215,799474817,800368973,0.9988828202614496
pr固网关联准确率,2025-08-15,00-23,210213,179331185,179430511,0.9994464375125143
pr固网关联准确率,2025-08-15,00-23,220214,320354816,320455886,0.9996846055746967
pr固网关联准确率,2025-08-15,00-23,230215,84919201,84955861,0.9995684818025681
pr移网关联准确率,2025-08-15,00-23,210213,63800213,63842066,0.9993444291104239
pr移网关联准确率,2025-08-15,00-23,220214,188136934,188184967,0.9997447564448653
pr移网关联准确率,2025-08-15,00-23,230215,50095793,50122077,0.9994756003427392
