统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-05,00-23,210213,418284308,418622375,0.9991924296927511
nf固网关联率,2025-08-05,00-23,220214,548492233,548877710,0.9992976996642841
nf固网关联率,2025-08-05,00-23,230215,303474254,303684490,0.9993077157150831
nf移网关联率,2025-08-05,00-23,210213,304023844,307894159,0.9874297225625511
nf移网关联率,2025-08-05,00-23,220214,1296324485,1309889231,0.9896443564242112
nf移网关联率,2025-08-05,00-23,230215,854890965,860484343,0.9934997329753855
pr固网关联率,2025-08-05,00-23,210213,250030560,253424721,0.986606827516247
pr固网关联率,2025-08-05,00-23,220214,432701641,437104880,0.9899263558896895
pr固网关联率,2025-08-05,00-23,230215,143528422,145297886,0.987821818687713
pr移网关联率,2025-08-05,00-23,210213,85736580,85801726,0.999240737884457
pr移网关联率,2025-08-05,00-23,220214,195965290,196054183,0.9995465896282356
pr移网关联率,2025-08-05,00-23,230215,60069423,60089058,0.9996732350172639
nf固网关联准确率,2025-08-05,00-23,210213,2424614927,2425733322,0.9995389456087952
nf固网关联准确率,2025-08-05,00-23,220214,1822484205,1823412252,0.9994910382997689
nf固网关联准确率,2025-08-05,00-23,230215,1205770808,1206358616,0.9995127419059275
nf移网关联准确率,2025-08-05,00-23,210213,1140164866,1140730417,0.9995042202859048
nf移网关联准确率,2025-08-05,00-23,220214,1066197531,1066372209,0.9998361941557312
nf移网关联准确率,2025-08-05,00-23,230215,739357207,739691101,0.9995486034649482
pr固网关联准确率,2025-08-05,00-23,210213,162495155,162556497,0.9996226419667495
pr固网关联准确率,2025-08-05,00-23,220214,300980151,301061195,0.9997308055593149
pr固网关联准确率,2025-08-05,00-23,230215,104979087,104997680,0.9998229198968968
pr移网关联准确率,2025-08-05,00-23,210213,74581046,74632983,0.999304101244352
pr移网关联准确率,2025-08-05,00-23,220214,164262298,164298232,0.9997812879690635
pr移网关联准确率,2025-08-05,00-23,230215,52233266,52254936,0.9995853023339268
