统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-12,00-23,210213,3431648849,3433645235,0.999418581168593
nf固网关联率,2025-08-12,00-23,220214,2173303755,2175539442,0.9989723528073825
nf固网关联率,2025-08-12,00-23,230215,1548438873,1549670506,0.9992052291146851
nf移网关联率,2025-08-12,00-23,210213,1352641337,1371221048,0.9864502437246718
nf移网关联率,2025-08-12,00-23,220214,1252345177,1264620599,0.9902931978099149
nf移网关联率,2025-08-12,00-23,230215,834541802,839623582,0.9939475497009087
pr固网关联率,2025-08-12,00-23,210213,248772178,251775206,0.9880725824924953
pr固网关联率,2025-08-12,00-23,220214,545979902,551155052,0.9906103555048245
pr固网关联率,2025-08-12,00-23,230215,141227536,143365639,0.9850863636857923
pr移网关联率,2025-08-12,00-23,210213,83655311,83767076,0.998665764577959
pr移网关联率,2025-08-12,00-23,220214,234915836,234990097,0.9996839824275658
pr移网关联率,2025-08-12,00-23,230215,57845216,57853875,0.9998503298180114
nf固网关联准确率,2025-08-12,00-23,210213,1757866997,1759066555,0.9993180712824138
nf固网关联准确率,2025-08-12,00-23,220214,1263084816,1263980439,0.9992914265344893
nf固网关联准确率,2025-08-12,00-23,230215,925991317,927120711,0.9987818263721217
nf移网关联准确率,2025-08-12,00-23,210213,1131818501,1132240301,0.9996274642409148
nf移网关联准确率,2025-08-12,00-23,220214,1030613546,1030691643,0.9999242285502843
nf移网关联准确率,2025-08-12,00-23,230215,723386149,723772198,0.9994666153230716
pr固网关联准确率,2025-08-12,00-23,210213,137560251,137587017,0.9998054612958139
pr固网关联准确率,2025-08-12,00-23,220214,330418215,330559850,0.9995715299362581
pr固网关联准确率,2025-08-12,00-23,230215,90043899,90063197,0.9997857282370289
pr移网关联准确率,2025-08-12,00-23,210213,68751701,68800309,0.9992934915452196
pr移网关联准确率,2025-08-12,00-23,220214,195147169,195188854,0.9997864376005814
pr移网关联准确率,2025-08-12,00-23,230215,50306042,50327755,0.9995685680793829
