统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-21,00-23,210213,3295216412,3297695044,0.9992483744048711
nf固网关联率,2025-08-21,00-23,220214,2550843043,2553223458,0.9990676824652611
nf固网关联率,2025-08-21,00-23,230215,1321699698,1323206096,0.9988615545193196
nf移网关联率,2025-08-21,00-23,210213,1281238740,1300612578,0.9851040668622536
nf移网关联率,2025-08-21,00-23,220214,1352167136,1367115155,0.9890660132430468
nf移网关联率,2025-08-21,00-23,230215,866211230,871588024,0.9938310373112699
pr固网关联率,2025-08-21,00-23,210213,332756757,336878279,0.9877655454301344
pr固网关联率,2025-08-21,00-23,220214,511199449,515898150,0.9908921925771589
pr固网关联率,2025-08-21,00-23,230215,136866362,138836237,0.9858115212385078
pr移网关联率,2025-08-21,00-23,210213,82405966,82469768,0.9992263589246425
pr移网关联率,2025-08-21,00-23,220214,234644123,234739861,0.9995921527788585
pr移网关联率,2025-08-21,00-23,230215,58353363,58363610,0.9998244282696016
nf固网关联准确率,2025-08-21,00-23,210213,1853172246,1857585993,0.9976239339569568
nf固网关联准确率,2025-08-21,00-23,220214,1603305552,1608189006,0.9969633830465323
nf固网关联准确率,2025-08-21,00-23,230215,785836983,786360479,0.99933427987039
nf移网关联准确率,2025-08-21,00-23,210213,1067218379,1067856601,0.9994023336097727
nf移网关联准确率,2025-08-21,00-23,220214,1102895796,1103016247,0.9998907985260166
nf移网关联准确率,2025-08-21,00-23,230215,752598636,753175824,0.9992336610103406
pr固网关联准确率,2025-08-21,00-23,210213,226710432,226821012,0.9995124790290593
pr固网关联准确率,2025-08-21,00-23,220214,324016903,324156810,0.9995683971593872
pr固网关联准确率,2025-08-21,00-23,230215,87317413,87364835,0.9994571957927924
pr移网关联准确率,2025-08-21,00-23,210213,67251113,67295151,0.9993455992096667
pr移网关联准确率,2025-08-21,00-23,220214,194411514,194456681,0.9997677271885557
pr移网关联准确率,2025-08-21,00-23,230215,50715395,50739356,0.9995277630248204
