统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-27,00-23,210213,3430639126,3433560909,0.9991490516471278
nf固网关联率,2025-08-27,00-23,220214,1783286765,1785055974,0.9990088775781997
nf固网关联率,2025-08-27,00-23,230215,1412985775,1414573634,0.9988774999322517
nf移网关联率,2025-08-27,00-23,210213,1119163081,1135112292,0.9859492218413929
nf移网关联率,2025-08-27,00-23,220214,989190932,998874787,0.990305236325882
nf移网关联率,2025-08-27,00-23,230215,756507491,761173790,0.9938696010539196
pr固网关联率,2025-08-27,00-23,210213,379899891,385049826,0.9866252763869577
pr固网关联率,2025-08-27,00-23,220214,515302261,519530748,0.99186094948898
pr固网关联率,2025-08-27,00-23,230215,145694850,147268965,0.989311291757907
pr移网关联率,2025-08-27,00-23,210213,82115375,82289493,0.9978840798059115
pr移网关联率,2025-08-27,00-23,220214,233738533,233835571,0.9995850160880784
pr移网关联率,2025-08-27,00-23,230215,56293199,56297023,0.9999320745610296
nf固网关联准确率,2025-08-27,00-23,210213,1967918085,1968960451,0.9994706008444859
nf固网关联准确率,2025-08-27,00-23,220214,1012269994,1013714344,0.9985751903299496
nf固网关联准确率,2025-08-27,00-23,230215,835649312,836318429,0.999199925558498
nf移网关联准确率,2025-08-27,00-23,210213,939987062,940307083,0.9996596633102253
nf移网关联准确率,2025-08-27,00-23,220214,803099108,803368302,0.9996649183203646
nf移网关联准确率,2025-08-27,00-23,230215,645552543,646429276,0.9986437294340611
pr固网关联准确率,2025-08-27,00-23,210213,227305111,227411439,0.9995324421653213
pr固网关联准确率,2025-08-27,00-23,220214,316959705,317115560,0.9995085230128726
pr固网关联准确率,2025-08-27,00-23,230215,94188251,94208375,0.9997863884182272
pr移网关联准确率,2025-08-27,00-23,210213,67778726,67822143,0.9993598403400494
pr移网关联准确率,2025-08-27,00-23,220214,193074121,193122572,0.9997491178814665
pr移网关联准确率,2025-08-27,00-23,230215,48838773,48861611,0.9995325983009443
