统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-24,00-23,210213,418268092,418804527,0.9987191279811548
nf固网关联率,2025-07-24,00-23,220214,517184170,526997640,0.9813785314105012
nf固网关联率,2025-07-24,00-23,230215,311959722,312239865,0.9991027955382955
nf移网关联率,2025-07-24,00-23,210213,257268789,260969349,0.9858199439352551
nf移网关联率,2025-07-24,00-23,220214,368606110,378360655,0.9742189234765967
nf移网关联率,2025-07-24,00-23,230215,207857350,208413799,0.9973300760186229
nf固网关联准确率,2025-07-24,00-23,210213,252169948,252480880,0.9987684928854811
nf固网关联准确率,2025-07-24,00-23,220214,278999597,329826280,0.8458986257856712
nf固网关联准确率,2025-07-24,00-23,230215,196619740,196836770,0.9988974112915996
nf移网关联准确率,2025-07-24,00-23,210213,214191793,214258778,0.9996873640341587
nf移网关联准确率,2025-07-24,00-23,220214,258994852,307439339,0.8424258679530924
nf移网关联准确率,2025-07-24,00-23,230215,181487857,181555727,0.9996261753836055
