统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-03,00-23,210213,3200411803,3203068260,0.9991706523919037
nf固网关联率,2025-08-03,00-23,220214,2592881806,2594937677,0.9992077378126565
nf固网关联率,2025-08-03,00-23,230215,1585217493,1586514582,0.9991824285671772
nf移网关联率,2025-08-03,00-23,210213,1272749269,1294237954,0.9833966505667783
nf移网关联率,2025-08-03,00-23,220214,1208055713,1220717236,0.9896278002582409
nf移网关联率,2025-08-03,00-23,230215,838811216,844067179,0.9937730513272333
pr固网关联率,2025-08-03,00-23,210213,173177180,175220102,0.9883408240454055
pr固网关联率,2025-08-03,00-23,220214,437892722,441467215,0.9919031518569278
pr固网关联率,2025-08-03,00-23,230215,142817019,144496082,0.9883798717808833
pr移网关联率,2025-08-03,00-23,210213,64817793,64860750,0.9993377042356124
pr移网关联率,2025-08-03,00-23,220214,187732458,187784928,0.9997205846041063
pr移网关联率,2025-08-03,00-23,230215,58277944,58286047,0.9998609787347562
nf固网关联准确率,2025-08-03,00-23,210213,1843117343,1844149831,0.9994401279209292
nf固网关联准确率,2025-08-03,00-23,220214,1768418058,1769313640,0.9994938251874891
nf固网关联准确率,2025-08-03,00-23,230215,1006318911,1006869414,0.9994532528326459
nf移网关联准确率,2025-08-03,00-23,210213,1057945045,1058353566,0.9996140032847964
nf移网关联准确率,2025-08-03,00-23,220214,987906216,987989378,0.999915827030278
nf移网关联准确率,2025-08-03,00-23,230215,729950615,730273893,0.9995573195165557
pr固网关联准确率,2025-08-03,00-23,210213,96424661,96451926,0.9997173203156151
pr固网关联准确率,2025-08-03,00-23,220214,271876605,271950073,0.9997298474709363
pr固网关联准确率,2025-08-03,00-23,230215,90981953,91011828,0.9996717459625138
pr移网关联准确率,2025-08-03,00-23,210213,54876214,54913055,0.999329103070299
pr移网关联准确率,2025-08-03,00-23,220214,160046051,160082263,0.9997737913037874
pr移网关联准确率,2025-08-03,00-23,230215,50849047,50875046,0.9994889636070304
