统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-04,00-23,210213,3409868156,3412394315,0.9992597106996411
nf固网关联率,2025-08-04,00-23,220214,2480734235,2482919407,0.9991199182728849
nf固网关联率,2025-08-04,00-23,230215,1475556216,1476806174,0.9991536072762924
nf移网关联率,2025-08-04,00-23,210213,1282380655,1301268275,0.9854852220999547
nf移网关联率,2025-08-04,00-23,220214,1213789969,1226120817,0.9899432031256346
nf移网关联率,2025-08-04,00-23,230215,856860742,862342656,0.9936429979871018
pr固网关联率,2025-08-04,00-23,210213,200884830,202842297,0.9903498085510243
pr固网关联率,2025-08-04,00-23,220214,426129784,429579079,0.9919705237786964
pr固网关联率,2025-08-04,00-23,230215,144565792,146328479,0.9879539033546573
pr移网关联率,2025-08-04,00-23,210213,62148924,62229958,0.9986978297494593
pr移网关联率,2025-08-04,00-23,220214,186204254,186264452,0.9996768143392171
pr移网关联率,2025-08-04,00-23,230215,59663800,59672846,0.999848406761092
nf固网关联准确率,2025-08-04,00-23,210213,2038233063,2039311440,0.9994712053397788
nf固网关联准确率,2025-08-04,00-23,220214,1511775654,1512628541,0.9994361556873467
nf固网关联准确率,2025-08-04,00-23,230215,833911671,834507029,0.9992865752122981
nf移网关联准确率,2025-08-04,00-23,210213,1072789229,1073194596,0.9996222800585179
nf移网关联准确率,2025-08-04,00-23,220214,988723845,988808699,0.9999141856255049
nf移网关联准确率,2025-08-04,00-23,230215,748342399,748657682,0.9995788689442714
pr固网关联准确率,2025-08-04,00-23,210213,139991457,140030495,0.9997212178675795
pr固网关联准确率,2025-08-04,00-23,220214,258742645,258828065,0.9996699739651494
pr固网关联准确率,2025-08-04,00-23,230215,90555433,90599951,0.999508631080827
pr移网关联准确率,2025-08-04,00-23,210213,52934423,52971414,0.9993016799589303
pr移网关联准确率,2025-08-04,00-23,220214,155846262,155880560,0.999779972563609
pr移网关联准确率,2025-08-04,00-23,230215,51755995,51778583,0.999563757857182
