统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-16,00-23,210213,3462792648,3464983542,0.9993677043560399
nf固网关联率,2025-08-16,00-23,220214,2167608810,2169860692,0.9989621997355396
nf固网关联率,2025-08-16,00-23,230215,1553231545,1554669025,0.9990753787610839
nf移网关联率,2025-08-16,00-23,210213,1337000101,1356783796,0.9854186827272515
nf移网关联率,2025-08-16,00-23,220214,1276665233,1289334841,0.9901735316559246
nf移网关联率,2025-08-16,00-23,230215,920361644,925558120,0.9943855756999895
pr固网关联率,2025-08-16,00-23,210213,288041764,289745659,0.9941193424402607
pr固网关联率,2025-08-16,00-23,220214,537000529,540304977,0.9938841059389316
pr固网关联率,2025-08-16,00-23,230215,136772632,137950159,0.9914641127742375
pr移网关联率,2025-08-16,00-23,210213,80752399,80805332,0.999344931841874
pr移网关联率,2025-08-16,00-23,220214,230362827,230449598,0.9996234708120428
pr移网关联率,2025-08-16,00-23,230215,56563582,56572117,0.9998491306238372
nf固网关联准确率,2025-08-16,00-23,210213,1964839650,1966314563,0.9992499099443429
nf固网关联准确率,2025-08-16,00-23,220214,1284378271,1285303921,0.9992798201383531
nf固网关联准确率,2025-08-16,00-23,230215,859293807,860162651,0.9989899073169592
nf移网关联准确率,2025-08-16,00-23,210213,1117938780,1118368989,0.999615324634149
nf移网关联准确率,2025-08-16,00-23,220214,1042976670,1043053403,0.999926434255639
nf移网关联准确率,2025-08-16,00-23,230215,804441653,805101398,0.9991805442126434
pr固网关联准确率,2025-08-16,00-23,210213,169190331,169211243,0.9998764148313715
pr固网关联准确率,2025-08-16,00-23,220214,317405506,317578628,0.9994548688584926
pr固网关联准确率,2025-08-16,00-23,230215,85121685,85192869,0.9991644371079932
pr移网关联准确率,2025-08-16,00-23,210213,65893043,65940910,0.9992740925170732
pr移网关联准确率,2025-08-16,00-23,220214,190697160,190739427,0.9997784044931622
pr移网关联准确率,2025-08-16,00-23,230215,48998917,49021152,0.9995464202881238
