统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-29,00-23,210213,3068433675,3070386707,0.9993639133482609
nf固网关联率,2025-08-29,00-23,220214,1923378057,1940459060,0.9911974422176163
nf固网关联率,2025-08-29,00-23,230215,1299834621,1300980343,0.9991193394995054
nf移网关联率,2025-08-29,00-23,210213,924821133,939056552,0.9848407223508728
nf移网关联率,2025-08-29,00-23,220214,933429252,943938209,0.9888669015621975
nf移网关联率,2025-08-29,00-23,230215,667558840,671790895,0.9937003388532082
pr固网关联率,2025-08-29,00-23,210213,307094428,308674585,0.9948808321877228
pr固网关联率,2025-08-29,00-23,220214,557278204,565826692,0.984892038285108
pr固网关联率,2025-08-29,00-23,230215,143717068,144360496,0.9955429080820005
pr移网关联率,2025-08-29,00-23,210213,76997560,77063174,0.9991485686795096
pr移网关联率,2025-08-29,00-23,220214,224471859,225053991,0.9974133673550362
pr移网关联率,2025-08-29,00-23,230215,54085243,54088280,0.9999438510523907
nf固网关联准确率,2025-08-29,00-23,210213,2140594039,2141282859,0.9996783143352104
nf固网关联准确率,2025-08-29,00-23,220214,1042547662,1043474260,0.9991120068452862
nf固网关联准确率,2025-08-29,00-23,230215,833152267,833540066,0.9995347566172063
nf移网关联准确率,2025-08-29,00-23,210213,763575421,764292801,0.9990613806658111
nf移网关联准确率,2025-08-29,00-23,220214,760247626,760303245,0.9999268462940731
nf移网关联准确率,2025-08-29,00-23,230215,570096324,570609733,0.9991002449304524
pr固网关联准确率,2025-08-29,00-23,210213,177470613,177543426,0.9995898862512657
pr固网关联准确率,2025-08-29,00-23,220214,343635846,343858594,0.9993522104612572
pr固网关联准确率,2025-08-29,00-23,230215,90384329,90411228,0.9997024816430986
pr移网关联准确率,2025-08-29,00-23,210213,62692678,62733119,0.9993553484882522
pr移网关联准确率,2025-08-29,00-23,220214,185575241,185615972,0.9997805630649069
pr移网关联准确率,2025-08-29,00-23,230215,46725521,46745168,0.9995796998740062
