统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-31,00-23,210213,3789657929,3796579218,0.9981769670530816
nf固网关联率,2025-07-31,00-23,220214,2186785964,2259838093,0.9676737332527123
nf固网关联率,2025-07-31,00-23,230215,1378310641,1379421226,0.9991948905968191
nf移网关联率,2025-07-31,00-23,210213,1277065087,1297189744,0.9844859573604523
nf移网关联率,2025-07-31,00-23,220214,1129068917,1161992651,0.9716661426630657
nf移网关联率,2025-07-31,00-23,230215,758182146,762781825,0.9939698628765834
nf固网关联准确率,2025-07-31,00-23,210213,2177919392,2178856845,0.9995697500723137
nf固网关联准确率,2025-07-31,00-23,220214,1036439110,1313348705,0.7891575984764838
nf固网关联准确率,2025-07-31,00-23,230215,742467459,743046374,0.9992208898121883
nf移网关联准确率,2025-07-31,00-23,210213,1065729046,1066180979,0.9995761198062041
nf移网关联准确率,2025-07-31,00-23,220214,685148587,919389656,0.7452211176498161
nf移网关联准确率,2025-07-31,00-23,230215,652595207,652727298,0.9997976321805374
