统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-13,00-23,210213,3512721841,3514749206,0.9994231835954215
nf固网关联率,2025-08-13,00-23,220214,2177177961,2179176454,0.9990829136409162
nf固网关联率,2025-08-13,00-23,230215,1508466372,1509709009,0.9991769029709752
nf移网关联率,2025-08-13,00-23,210213,1341180886,1360327613,0.9859249148388786
nf移网关联率,2025-08-13,00-23,220214,1219468987,1231581923,0.990164733848566
nf移网关联率,2025-08-13,00-23,230215,772244710,777142979,0.9936970813191893
pr固网关联率,2025-08-13,00-23,210213,261534886,265010853,0.9868836805713764
pr固网关联率,2025-08-13,00-23,220214,544742705,551844137,0.9871314533871726
pr固网关联率,2025-08-13,00-23,230215,139962134,143101249,0.9780636785357478
pr移网关联率,2025-08-13,00-23,210213,75676340,75725423,0.9993518293057273
pr移网关联率,2025-08-13,00-23,220214,232117222,232491585,0.998389778279502
pr移网关联率,2025-08-13,00-23,230215,57246186,57298681,0.9990838358041785
nf固网关联准确率,2025-08-13,00-23,210213,1724355574,1725403517,0.9993926388872661
nf固网关联准确率,2025-08-13,00-23,220214,1330798899,1331681398,0.9993373047026674
nf固网关联准确率,2025-08-13,00-23,230215,825478997,826639100,0.9985966027980046
nf移网关联准确率,2025-08-13,00-23,210213,1123294381,1123732298,0.9996103013139522
nf移网关联准确率,2025-08-13,00-23,220214,994619062,994698687,0.9999199506332515
nf移网关联准确率,2025-08-13,00-23,230215,670822206,671338613,0.9992307801309203
pr固网关联准确率,2025-08-13,00-23,210213,176772276,176793439,0.9998802953315479
pr固网关联准确率,2025-08-13,00-23,220214,332975355,333138505,0.9995102637565118
pr固网关联准确率,2025-08-13,00-23,230215,88499340,88545244,0.9994815757693322
pr移网关联准确率,2025-08-13,00-23,210213,61639277,61679110,0.9993541897734906
pr移网关联准确率,2025-08-13,00-23,220214,192602079,192646360,0.9997701435936812
pr移网关联准确率,2025-08-13,00-23,230215,49552204,49573979,0.9995607574691553
