统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-24,00-23,210213,3314719732,3317233919,0.9992420832954831
nf固网关联率,2025-08-24,00-23,220214,2100494416,2102101556,0.9992354603442385
nf固网关联率,2025-08-24,00-23,230215,1409951253,1411987781,0.9985576872353968
nf移网关联率,2025-08-24,00-23,210213,1136610102,1153518203,0.9853421463518942
nf移网关联率,2025-08-24,00-23,220214,1038535241,1048853328,0.990162507259547
nf移网关联率,2025-08-24,00-23,230215,773815155,778662034,0.9937753752098307
pr固网关联率,2025-08-24,00-23,210213,367986282,373065087,0.9863862763443206
pr固网关联率,2025-08-24,00-23,220214,500539265,504807047,0.9915457162784022
pr固网关联率,2025-08-24,00-23,230215,141806875,143307395,0.9895293609935482
pr移网关联率,2025-08-24,00-23,210213,81389819,81571128,0.9977772895331299
pr移网关联率,2025-08-24,00-23,220214,232379668,232477770,0.9995780155668217
pr移网关联率,2025-08-24,00-23,230215,57059617,57069591,0.9998252309185114
nf固网关联准确率,2025-08-24,00-23,210213,1675667550,1678185404,0.9984996568352945
nf固网关联准确率,2025-08-24,00-23,220214,1201581481,1202227799,0.9994623997211364
nf固网关联准确率,2025-08-24,00-23,230215,926282082,928199381,0.9979343888401063
nf移网关联准确率,2025-08-24,00-23,210213,911908902,917509687,0.9938956666296211
nf移网关联准确率,2025-08-24,00-23,220214,812586085,813680033,0.9986555550638663
nf移网关联准确率,2025-08-24,00-23,230215,660725843,662645821,0.9971025577478139
pr固网关联准确率,2025-08-24,00-23,210213,254049523,254177143,0.999497909219949
pr固网关联准确率,2025-08-24,00-23,220214,312095407,312175400,0.9997437562344759
pr固网关联准确率,2025-08-24,00-23,230215,91433850,91448730,0.9998372858759219
pr移网关联准确率,2025-08-24,00-23,210213,66763110,66822328,0.9991137992079534
pr移网关联准确率,2025-08-24,00-23,220214,191996711,192052554,0.999709230630695
pr移网关联准确率,2025-08-24,00-23,230215,49372087,49399353,0.9994480494511739
