统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-27,00-23,210213,430550690,431063532,0.998810286739821
nf固网关联率,2025-07-27,00-23,220214,504777682,516454913,0.9773896409811093
nf固网关联率,2025-07-27,00-23,230215,321618590,321959256,0.9989418971697462
nf移网关联率,2025-07-27,00-23,210213,250454478,253941419,0.9862687189284391
nf移网关联率,2025-07-27,00-23,220214,365368730,376721086,0.9698653555060096
nf移网关联率,2025-07-27,00-23,230215,834192730,839141904,0.9941021012341198
nf固网关联准确率,2025-07-27,00-23,210213,1567544485,1568564997,0.9993493976966515
nf固网关联准确率,2025-07-27,00-23,220214,1199831590,1553896299,0.772143926703567
nf固网关联准确率,2025-07-27,00-23,230215,923558222,924561161,0.9989152269830205
nf移网关联准确率,2025-07-27,00-23,210213,1006753381,1007124096,0.9996319073275355
nf移网关联准确率,2025-07-27,00-23,220214,716105438,912155030,0.7850698778693355
nf移网关联准确率,2025-07-27,00-23,230215,721824994,722239496,0.9994260878804113
