类型,应用,地址信息,备注,,,,,,,,,,,,,,,,,,,,,,,
公共组件,nacos,http://192.168.13.10:8848/nacos     没有密码,"部署目录：/data1/semptian/service/nacos
,规则监控,192.168.13.8:9500," 部署目录：/data1/semptian/service/deye-case-rulemonitor-v6.4.6.01
启动命令：sh /data1/semptian/service/deye-case-rulemonitor-v6.4.6.01/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-case-rulemonitor-v6.4.6.01/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,NF系统,192.168.13.8:9999/nfsystem," 部署目录：/data1/semptian/service/deye-nfsystem-web-v6.4.8
启动命令：sh /data1/semptian/service/deye-nfsystem-web-v6.4.8/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-nfsystem-web-v6.4.8/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,案件web,192.168.13.8:8088/case-system," 部署目录：/data1/semptian/service/deye-case-web-v6.4.6.02
启动命令：sh /data1/semptian/service/deye-case-web-v6.4.6.02/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-case-web-v6.4.6.02/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,案件前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
,vrs-system,192.168.13.8:8087/vrs-system," 部署目录：/data1/semptian/service/deye-vrs-web-v6.4.6
启动命令：sh /data1/semptian/service/deye-vrs-web-v6.4.6/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-vrs-web-v6.4.6/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,DCL服务,192.168.13.8,,,,,,,,,,,,,,,,,,,,,,,,
全息档案,全息档案web,192.168.13.8:8189/archives_web," 部署目录：/data1/semptian/service/deye-archives-web-v6.4.3
启动命令：sh /data1/semptian/service/deye-archives-web-v6.4.3/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-archives-web-v6.4.3/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,机主信息,192.168.13.12,/semptian/service/bart-relation-api,,,,,,,,,,,,,,,,,,,,,,,
,机主信息web端,192.168.13.8,/data1/semptian/service/deye-owner-info-analyze-v6.4.1,,,,,,,,,,,,,,,,,,,,,,,
,全息档案前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
线索侦查,线索侦查web,192.168.13.7:8181/clue_scout," 部署目录：/data1/semptian/service/deye-clue-scout-web-1.0-SNAPSHOT
启动命令：sh /data1/semptian/service/deye-clue-scout-web-1.0-SNAPSHOT/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-clue-scout-web-1.0-SNAPSHOT/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,线索侦查job,192.168.13.7:8185/clue_scout_job," 部署目录：/data1/semptian/service/deye-clue-scout-job-v6.4.1.01
启动命令：sh /data1/semptian/service/deye-clue-scout-job-v6.4.1.01/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-clue-scout-job-v6.4.1.01/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,推荐web,192.168.13.7:8180," 部署目录：/data1/semptian/service/deye-recommend-web-v6.4.1.01
启动命令：sh /data1/semptian/service/deye-recommend-web-v6.4.1.01/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-recommend-web-v6.4.1.01/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,推荐engine,192.168.13.7:8183," 部署目录：/data1/semptian/service/deye-recommend-engine-v6.4.1.01
启动命令：sh /data1/semptian/service/deye-recommend-engine-v6.4.1.01/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-recommend-engine-v6.4.1.01/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,线索前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
网管系统,本地监控服务,, 部署目录：/semptian/net-management/monitor-local,,,,,,,,,,,,,,,,,,,,,,,
