局点,hostname,ip,环境信息,对接设备IP（NFS或者FTP）,对接设备目录地址,,,
MC（A-1）,"dpa-c1nf-s1到dpa-c1nf-s2
C1局点NF解析适配器",192.168.13.56、192.168.13.57,"部署路径：/data/semptian/nf
启动路径：
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11-nf-action/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11-nf-statics/bin/start.sh
停止命令：
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11-nf-action/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11-nf-statics/bin/stop.sh
侦听目录：
/data1/ftp/nf/action、/data1/ftp/nf/statics",,,,,
MC（A-1）,"a1nf-atdca-s1到a1nf-atdca-s5
NF行为和安全日志采集适配器+压缩服务+解析服务",192.168.13.57,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11-statics/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11-nf-action/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
停止命令：
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11-statics/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11-nf-action/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-ferry-v6.2.3.4/bin/stop.sh
侦听目录：/data/semptian/data/dc_log",,,,,
MC（A-1）,"a1nf-atdca-s1到a1nf-atdca-s5
NF行为和安全日志采集适配器+压缩服务+解析服务",192.168.13.58,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
停止命令：
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-ferry-v6.2.3.4/bin/stop.sh
侦听目录：/data/semptian/data/dc_log",,,,,
MC（A-1）,"a1nf-stdca-s1到a1nf-stdca-s5
NF统计日志采集适配器+压缩服务+解析服务",192.168.13.59,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/start.sh
停止命令：
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/stop.sh
侦听目录：/data/semptian/data/dc_log",,,,,
MC（A-1）,"a1nf-stdca-s1到a1nf-stdca-s5
NF统计日志采集适配器+压缩服务+解析服务",192.168.13.60,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-radiusmapping/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/start.sh
停止命令：
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-radiusmapping/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/stop.sh
侦听目录：/data/semptian/data/dc_log",,,,,
MC（A-1）,"a1nf-stdca-s1到a1nf-stdca-s5
NF统计日志采集适配器+压缩服务+解析服务",192.168.13.61,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/start.sh
停止命令：
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-ferry-v6.2.3.4/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/stop.sh
侦听目录：/data/semptian/data/dc_log",,,,,
MC（A-1）,"a1nf-stdca-s1到a1nf-stdca-s5
NF统计日志采集适配器+压缩服务+解析服务",192.168.13.62,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/start.sh
停止命令：
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-ferry-v6.2.3.4/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/stop.sh
侦听目录：/data/semptian/data/dc_log",,,,,
MC（A-1）,"a1nf-dca-s1到a1nf-dca-s8
NF日志采集适配器+压缩服务+解析服务","192.168.13.58至192.168.13.65（
192.168.13.58、59、60、61、62、63、64、65）","部署路径：/data/semptian/nf
启动路径：
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/start.sh
停止命令：
sh /data/semptian/nf/deye-dataprotocol-file-compress-v6.2.3.6/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-adapter-v6.2.3.20/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11/bin/stop.sh
侦听目录：/data/semptian/data/dc_log",,,,,
MC（A-1）,"a1nf-stdca-s1到a1nf-stdca-s5
NF统计日志采集适配器+压缩服务+解析服务","192.168.13.59到
192.168.13.63","部署路径：/data/semptian/
启动路径：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-nf-statistic/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11-nf-statistic/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6-nf-statistic/bin/start.sh
停止命令：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-nf-statistic/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11-nf-statistic/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6-nf-statistic/bin/stop.sh
侦听目录：/data/semptian/data/dc_log",,,,,
MC（A-1）,"a1nf-tgtdca-s1
NF特定目标采集适配器",192.168.13.77,"部署目录：/data/semptian/deye-nf-adapter-v6.2.3r0.1.5/
启动命令：sh /data/semptian/deye-nf-adapter-v6.2.3r0.1.5/bin/start.sh
停止命令：sh /data/semptian/deye-nf-adapter-v6.2.3r0.1.5/bin/stop.sh",,,,,
