统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-30,00-23,210213,2464755190,2466508568,0.9992891255182537
nf固网关联率,2025-08-30,00-23,220214,2330091216,2331603635,0.9993513395770632
nf固网关联率,2025-08-30,00-23,230215,1551712527,1552957272,0.999198467966606
nf移网关联率,2025-08-30,00-23,210213,967810787,982456297,0.9850929654125877
nf移网关联率,2025-08-30,00-23,220214,979561226,989555806,0.9898999329402146
nf移网关联率,2025-08-30,00-23,230215,695281754,699660696,0.9937413348712674
pr固网关联率,2025-08-30,00-23,210213,312288801,314091810,0.99425961154479
pr固网关联率,2025-08-30,00-23,220214,563317735,566908089,0.9936667793780589
pr固网关联率,2025-08-30,00-23,230215,148719042,149514410,0.994680325461606
pr移网关联率,2025-08-30,00-23,210213,80431615,80512003,0.9990015401802884
pr移网关联率,2025-08-30,00-23,220214,231514549,231695860,0.9992174612010762
pr移网关联率,2025-08-30,00-23,230215,55775484,55780058,0.9999179993681613
nf固网关联准确率,2025-08-30,00-23,210213,1421732093,1422487146,0.9994692022334801
nf固网关联准确率,2025-08-30,00-23,220214,1480517439,1481141708,0.999578521760188
nf固网关联准确率,2025-08-30,00-23,230215,858502504,858906714,0.9995293901032424
nf移网关联准确率,2025-08-30,00-23,210213,809875296,810168125,0.9996385577376301
nf移网关联准确率,2025-08-30,00-23,220214,804157436,804203076,0.9999432481653427
nf移网关联准确率,2025-08-30,00-23,230215,598165754,598630358,0.9992238883414596
pr固网关联准确率,2025-08-30,00-23,210213,172351949,172391531,0.9997703947533246
pr固网关联准确率,2025-08-30,00-23,220214,345316820,345413797,0.9997192439883923
pr固网关联准确率,2025-08-30,00-23,230215,92746722,92789847,0.9995352401001373
pr移网关联准确率,2025-08-30,00-23,210213,66401159,66455671,0.9991797238793962
pr移网关联准确率,2025-08-30,00-23,220214,192803082,192844112,0.9997872374760397
pr移网关联准确率,2025-08-30,00-23,230215,48284110,48304672,0.9995743268891257
