统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-08,00-23,210213,3496363859,3498803196,0.9993028081708657
nf固网关联率,2025-08-08,00-23,220214,2170349286,2172206987,0.9991447863803414
nf固网关联率,2025-08-08,00-23,230215,1665489067,1666665783,0.9992939700256629
nf移网关联率,2025-08-08,00-23,210213,1272675372,1293466797,0.9839258146801892
nf移网关联率,2025-08-08,00-23,220214,1215583082,1228929710,0.9891396327296864
nf移网关联率,2025-08-08,00-23,230215,810002348,815204358,0.9936187657132225
pr固网关联率,2025-08-08,00-23,210213,275694004,277974643,0.9917955142404842
pr固网关联率,2025-08-08,00-23,220214,293152617,294988629,0.9937759905992851
pr固网关联率,2025-08-08,00-23,230215,139686884,141018427,0.9905576666232421
pr移网关联率,2025-08-08,00-23,210213,82622497,82697005,0.9990990242028717
pr移网关联率,2025-08-08,00-23,220214,131163231,131197890,0.9997358265441616
pr移网关联率,2025-08-08,00-23,230215,56268281,56279544,0.9997998740004006
nf固网关联准确率,2025-08-08,00-23,210213,1757439441,1758447066,0.9994269801920782
nf固网关联准确率,2025-08-08,00-23,220214,1273125820,1273888399,0.9994013769176338
nf固网关联准确率,2025-08-08,00-23,230215,867762913,868288249,0.9993949751126944
nf移网关联准确率,2025-08-08,00-23,210213,1057149674,1057601159,0.9995731046660096
nf移网关联准确率,2025-08-08,00-23,220214,978367876,978460973,0.9999048536399826
nf移网关联准确率,2025-08-08,00-23,230215,696840437,697357387,0.9992587014784142
pr固网关联准确率,2025-08-08,00-23,210213,155888069,155924008,0.9997695095164563
pr固网关联准确率,2025-08-08,00-23,220214,234108877,234168143,0.999746908357214
pr固网关联准确率,2025-08-08,00-23,230215,86977165,87000863,0.999727611897367
pr移网关联准确率,2025-08-08,00-23,210213,68022799,68072327,0.9992724209354559
pr移网关联准确率,2025-08-08,00-23,220214,123197413,123224651,0.9997789565660852
pr移网关联准确率,2025-08-08,00-23,230215,48621833,48642034,0.9995847007549068
