统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-26,00-23,210213,3303308945,3306004397,0.9991846798502609
nf固网关联率,2025-08-26,00-23,220214,2122280391,2123834152,0.9992684169813651
nf固网关联率,2025-08-26,00-23,230215,1617359759,1618889195,0.999055255909593
nf移网关联率,2025-08-26,00-23,210213,1078056897,1094096327,0.9853400202485096
nf移网关联率,2025-08-26,00-23,220214,1139221105,1150634897,0.9900804399121227
nf移网关联率,2025-08-26,00-23,230215,891215927,896825268,0.9937453356856132
pr固网关联率,2025-08-26,00-23,210213,330979520,334980604,0.9880557741187904
pr固网关联率,2025-08-26,00-23,220214,521592172,526585144,0.990518205731987
pr固网关联率,2025-08-26,00-23,230215,147074199,148686165,0.9891586012726873
pr移网关联率,2025-08-26,00-23,210213,71727383,71790623,0.9991191050118063
pr移网关联率,2025-08-26,00-23,220214,235978600,236082928,0.9995580874869529
pr移网关联率,2025-08-26,00-23,230215,58406037,58414893,0.9998483948262988
nf固网关联准确率,2025-08-26,00-23,210213,2169931007,2172723787,0.9987146180215313
nf固网关联准确率,2025-08-26,00-23,220214,1326266615,1326958950,0.999478254395134
nf固网关联准确率,2025-08-26,00-23,230215,931465253,932447957,0.9989461031121118
nf移网关联准确率,2025-08-26,00-23,210213,890788879,893028658,0.9974919293127544
nf移网关联准确率,2025-08-26,00-23,220214,917977950,918031320,0.9999418647285367
nf移网关联准确率,2025-08-26,00-23,230215,775234067,775990891,0.9990246998917414
pr固网关联准确率,2025-08-26,00-23,210213,210927926,211048204,0.9994300922835619
pr固网关联准确率,2025-08-26,00-23,220214,317043100,317157899,0.9996380383387519
pr固网关联准确率,2025-08-26,00-23,230215,93957181,93999238,0.9995525814794372
pr移网关联准确率,2025-08-26,00-23,210213,60350764,60386855,0.9994023368165141
pr移网关联准确率,2025-08-26,00-23,220214,195454618,195497405,0.9997811377598592
pr移网关联准确率,2025-08-26,00-23,230215,50647746,50669409,0.9995724639298634
