统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-07,00-23,210213,3443618878,3446201821,0.9992504957242317
nf固网关联率,2025-08-07,00-23,220214,2219633413,2221953288,0.9989559298962184
nf固网关联率,2025-08-07,00-23,230215,1346412313,1347698903,0.9990453431421988
nf移网关联率,2025-08-07,00-23,210213,1327094490,1346967209,0.9852463230973872
nf移网关联率,2025-08-07,00-23,220214,1288535486,1302303587,0.9894278867558706
nf移网关联率,2025-08-07,00-23,230215,845120030,850400602,0.9937904888736191
pr固网关联率,2025-08-07,00-23,210213,267541338,270420252,0.9893539260513668
pr固网关联率,2025-08-07,00-23,220214,1398883,1413115,0.9899286328430453
pr固网关联率,2025-08-07,00-23,230215,140403080,142458693,0.9855704628709461
pr移网关联率,2025-08-07,00-23,210213,82734392,82787635,0.9993568725571156
pr移网关联率,2025-08-07,00-23,220214,666547,666593,0.9999309923746574
pr移网关联率,2025-08-07,00-23,230215,57356998,57364973,0.9998609778827927
nf固网关联准确率,2025-08-07,00-23,210213,2117961492,2119161106,0.9994339203392307
nf固网关联准确率,2025-08-07,00-23,220214,1482765913,1483824928,0.9992862938342548
nf固网关联准确率,2025-08-07,00-23,230215,864405030,864829742,0.9995089068063064
nf移网关联准确率,2025-08-07,00-23,210213,1117555731,1118029884,0.9995759031070766
nf移网关联准确率,2025-08-07,00-23,220214,1057564785,1057661025,0.9999090067632964
nf移网关联准确率,2025-08-07,00-23,230215,735106128,735305452,0.9997289235385678
pr固网关联准确率,2025-08-07,00-23,210213,172228824,172247294,0.9998927704489802
pr固网关联准确率,2025-08-07,00-23,220214,354560,354588,0.9999210351168116
pr固网关联准确率,2025-08-07,00-23,230215,87224230,87252714,0.9996735459713035
pr移网关联准确率,2025-08-07,00-23,210213,69988542,70039063,0.999278673959416
pr移网关联准确率,2025-08-07,00-23,220214,400375,400477,0.9997453037253076
pr移网关联准确率,2025-08-07,00-23,230215,49720130,49741084,0.9995787385735301
