统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-30,00-23,210213,3359614172,3367246795,0.9977332748489557
nf固网关联率,2025-07-30,00-23,220214,2520683870,2571601262,0.9802001217092263
nf固网关联率,2025-07-30,00-23,230215,1465111741,1466473301,0.9990715412281481
nf移网关联率,2025-07-30,00-23,210213,1266663744,1285025576,0.9857109209785876
nf移网关联率,2025-07-30,00-23,220214,1154016057,1183560158,0.9750379388826976
nf移网关联率,2025-07-30,00-23,230215,828041479,832993897,0.9940546767295223
nf固网关联准确率,2025-07-30,00-23,210213,2092694708,2093776811,0.9994831813045617
nf固网关联准确率,2025-07-30,00-23,220214,1266148792,1512383767,0.8371875046712267
nf固网关联准确率,2025-07-30,00-23,230215,829228255,830383965,0.998608222161419
nf移网关联准确率,2025-07-30,00-23,210213,1052538079,1053057797,0.9995064677347429
nf移网关联准确率,2025-07-30,00-23,220214,734749931,936859333,0.7842692121635725
nf移网关联准确率,2025-07-30,00-23,230215,719003554,719430969,0.9994058985247826
