,,,,,,,,,,,,,,
A1机房当前信息（CBP应用服务器）,,,,,,A2机房IP信息,,,,,,,,
Classify,IP,IP子网掩码,Idrac IP,Idrac子网掩码,主机名称,IP,IP子网掩码,Idrac IP,Idrac子网掩码,,"1、子网掩码为255.255.252.0，是22位掩码；
2、服务器测配置IP时为：ip/22，如192.168.28.1/22",,,
DE-doris_s15,192.168.15.65,255.255.255.0,172.20.25.65,255.255.224.0,doris-s15,192.168.28.115,255.255.252.0,192.168.30.115,255.255.252.0,,,,,
DE-doris_s16,192.168.15.66,255.255.255.0,172.20.25.66,255.255.224.0,doris-s16,192.168.28.116,255.255.252.0,192.168.30.116,255.255.252.0,,,,,
DE-doris_s17,192.168.15.67,255.255.255.0,172.20.25.67,255.255.224.0,doris-s17,192.168.28.117,255.255.252.0,192.168.30.117,255.255.252.0,,,,,
DE-doris_s18,192.168.15.68,255.255.255.0,172.20.25.68,255.255.224.0,doris-s18,192.168.28.118,255.255.252.0,192.168.30.118,255.255.252.0,,,,,
DE-doris_s19,192.168.15.69,255.255.255.0,172.20.25.69,255.255.224.0,doris-s19,192.168.28.119,255.255.252.0,192.168.30.119,255.255.252.0,,,,,
DE-doris_s20,192.168.15.70,255.255.255.0,172.20.25.70,255.255.224.0,doris-s20,192.168.28.120,255.255.252.0,192.168.30.120,255.255.252.0,,,,,
DE-doris_s21,192.168.15.71,255.255.255.0,172.20.25.71,255.255.224.0,doris-s21,192.168.28.121,255.255.252.0,192.168.30.121,255.255.252.0,,,,,
DE-doris_s22,192.168.15.72,255.255.255.0,172.20.25.72,255.255.224.0,doris-s22,192.168.28.122,255.255.252.0,192.168.30.122,255.255.252.0,,,,,
DE-doris_s23,192.168.15.73,255.255.255.0,172.20.25.73,255.255.224.0,doris-s23,192.168.28.123,255.255.252.0,192.168.30.123,255.255.252.0,,,,,
DE-doris_s24,192.168.15.74,255.255.255.0,172.20.25.74,255.255.224.0,doris-s24,192.168.28.124,255.255.252.0,192.168.30.124,255.255.252.0,,,,,
DE-doris_s25,192.168.15.75,255.255.255.0,172.20.25.75,255.255.224.0,doris-s25,192.168.28.125,255.255.252.0,192.168.30.125,255.255.252.0,,,,,
DE-doris_s26,192.168.15.76,255.255.255.0,172.20.25.76,255.255.224.0,doris-s26,192.168.28.126,255.255.252.0,192.168.30.126,255.255.252.0,,,,,
DE-doris_s27,192.168.15.77,255.255.255.0,172.20.25.77,255.255.224.0,doris-s27,192.168.28.127,255.255.252.0,192.168.30.127,255.255.252.0,,,,,
DE-doris_s28,192.168.15.78,255.255.255.0,172.20.25.78,255.255.224.0,doris-s28,192.168.28.128,255.255.252.0,192.168.30.128,255.255.252.0,,,,,
DE-doris_s29,192.168.15.79,255.255.255.0,172.20.25.79,255.255.224.0,doris-s29,192.168.28.129,255.255.252.0,192.168.30.129,255.255.252.0,,,,,
DE-doris_s30,192.168.15.80,255.255.255.0,172.20.25.80,255.255.224.0,doris-s30,192.168.28.130,255.255.252.0,192.168.30.130,255.255.252.0,,,,,
DE-doris_s31,192.168.15.81,255.255.255.0,172.20.25.81,255.255.224.0,doris-s31,192.168.28.131,255.255.252.0,192.168.30.131,255.255.252.0,,,,,
DE-doris_s32,192.168.15.82,255.255.255.0,172.20.25.82,255.255.224.0,doris-s32,192.168.28.132,255.255.252.0,192.168.30.132,255.255.252.0,,,,,
DE-doris_s33,192.168.15.83,255.255.255.0,172.20.25.83,255.255.224.0,doris-s33,192.168.28.133,255.255.252.0,192.168.30.133,255.255.252.0,,,,,
