,,,,,2025/8/23,,,2025/8/22,,,2025/8/21,,,2025/8/20,,,2025/8/19,,,2025/8/18,,,2025/8/17,,,2025/8/16,,,2025/8/15,,,2025/8/14,,,2025/8/13,,,2025/8/12,,,2025/8/11,,,2025/8/10,,,2025/8/9,,,2025/8/8,,,2025/8/7,,,2025/8/6,,,2025/8/5,,,2025/8/4,,,2025/8/3,,,2025/8/2,,,2025/8/1,,,2025/7/31,,,2025/7/30,,,2025/7/29,,,2025/7/28,,,2025/7/27,,,2025/7/26,,,2025/7/25,,,2025/7/24,,,2025/7/23,,,2025/7/22,,,2025/7/21,,,2025/7/20,,,2025/7/19,,,2025/7/18,,,2025/7/17,,,2025/7/16,,,2025/7/15,,,2025/7/14,,,2025/7/13,,,2025/7/12,,,2025/7/11,,,2025/7/10,,,,,,,,,,,,,,,,
类型,指标,站点,近7天平均,,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,百分比,分子,分母,,,,,,,,,,,,,,
"NF
移动网",关联率,A1,,,98.98%,1184304878,1196493397,99.02%,1276665233,1289334841,98.98%,1258086405,1271045254,99.02%,1300303369,1313225036,98.98%,1279075315,1292194055,98.90%,1286847481,1301203258,98.91%,1352167136,1367115155,98.91%,1178576132,1191544619,98.97%,1217658532,1230294941,98.99%,1187547042,1199624712,99.00%,1231263644,1243703639,99.03%,1252345177,1264620599,99.02%,1219468987,1231581923,99.00%,1246048997,1258586449,98.43%,1350040816,1371505318,98.39%,1272675372,1293466797,98.49%,1333344805,1353694731,98.49%,1333344805,1353694731,98.74%,304023844,307894159,98.54%,1282380655,1301268275,98.33%,1272749269,1294237954,98.25%,273084265,277922327,98.47%,1235858843,1254968416,98.44%,1277065087,1297189744,98.57%,1266663744,1285025576,98.59%,1346109822,1365321573,98.63%,1284609955,1302385273,98.62%,250454478,253941419,98.59%,1153375902,1169766077,98.52%,232003613,235450280,98.58%,257268789,260969349,96.62%,270676426,274454015,98.56%,280354507,284442149,98.55%,1309107236,1328311556,98.44%,1329451421,1350430491,97.78%,1178065376,1204798673,94%,1013312195,1077936320,95.25%,1069617121,1122881619,98.9%,237064258,239694703,98.67%,1033294233,1047169397,98.61%,,,98.6%,,,98.34%,,,98.49%,,,,,,,,,,,,,,,,,,,
,,B1,,,99.34%,883614576,889515282,99.44%,920361644,925558120,99.40%,865534875,870730613,99.40%,873457388,878760110,99.41%,881229401,886420866,99.42%,889813959,895012916,99.38%,866211230,871588024,99.40%,846596768,851727395,99.39%,853192990,858464866,99.35%,802446999,807673372,99.39%,834115039,839219845,99.39%,834541802,839623582,99.37%,772244710,777142979,99.38%,858900707,864219456,98.97%,1219820624,1232509494,98.91%,1215583082,1228929710,98.89%,1288692522,1303036118,98.89%,1288692522,1303036118,98.96%,1296324485,1309889231,98.99%,1213789969,1226120817,98.96%,1208055713,1220717236,98.71%,231677078,234695926,97.82%,1121816198,1146196705,97.16%,1129068917,1161992651,97.50%,1154016057,1183560158,97.83%,1140299089,1165489313,97.51%,1146660675,1175896257,96.98%,365368730,376721086,97.64%,1098728815,1125223273,97.35%,345975797,355372226,97.42%,368606110,378360655,97.47%,373920907,383612806,97.42%,390322903,400632096,91.51%,1133272672,1238327037,97.38%,1152020791,1182942989,96.24%,921090411,957063840,93.07%,611919662,657466572,93.09%,653465169,701902574,91.23%,46689101,51172127,96.09%,756907608,787673097,97.97%,,,97.18%,,,97.8%,,,97.73%,,,,,,,,,,,,,,,,,,,
,,C1,,,99.96%,1091618592,1092090166,99.96%,1117938780,1118368989,99.96%,1126843315,1127294233,99.96%,1174436560,1174880917,99.87%,1149233874,1150741164,99.95%,1133402814,1134017940,99.94%,1067218379,1067856601,99.96%,983557551,983946552,,,,99.96%,1095571919,1095999343,99.96%,1129547958,1129959640,99.96%,1131818501,1132240301,99.96%,1123294381,1123732298,99.96%,1108263655,1108693617,99.37%,818460836,823616003,99.36%,810002348,815204358,99.32%,796017187,801390250,99.32%,796017187,801390250,99.34%,854890965,860484343,99.36%,856860742,862342656,99.37%,838811216,844067179,99.26%,182995606,184347954,99.34%,823240053,828655358,99.39%,758182146,762781825,99.40%,828041479,832993897,99.41%,822302228,827101074,99.42%,824140016,828930185,99.41%,834192730,839141904,99.41%,815049350,819822611,99.77%,193750021,194186414,99.73%,207857350,208413799,99.74%,203400099,203921127,99.71%,207936951,208534727,99.39%,816812421,821820658,99.13%,850154999,857539728,95.58%,831537876,843474583,96.02%,822678913,856706456,98.24%,987286203,1004871462,99.68%,371476400,372654716,99.46%,1014007894,1019499935,99.36%,,,99.36%,,,99.43%,,,99.42%,,,,,,,,,,,,,,,,,,,
,准确率,A1,,,99.99%,956716459,956797056,99.99%,1042976670,1043053403,99.91%,1021474104,1022369443,99.97%,1054398889,1054760442,99.99%,1039912534,1039984980,99.99%,1050835107,1050918211,99.99%,1102895796,1103016247,99.99%,942037221,942119571,,,,99.99%,968071951,968150075,99.99%,1003210375,1003287864,99.99%,1030613546,1030691643,99.99%,994619062,994698687,99.99%,1022273600,1022351967,99.96%,1127726355,1128165036,99.95%,1057149674,1057601159,99.93%,1114200148,1114883514,99.93%,1114200148,1114883514,99.95%,1140164866,1140730417,99.96%,1072789229,1073194596,,,,99.93%,171921398,172025874,,,,99.95%,1065729046,1066180979,99.95%,1052538079,1053057797,,,,99.96%,1069391738,1069782303,99.96%,1006753381,1007124096,99.96%,962295199,962677617,99.95%,920954299,921339991,99.96%,214191793,214258778,99.96%,226206455,226275363,99.55%,233825910,234868319,99.69%,1105724955,1109113628,99.61%,1128973951,1133334432,99.51%,987194035,992031865,99.45%,895887984,900765569,99.68%,911166077,914050531,99.95%,577261466,577540575,99.94%,598146574,598458140,99.95%,,,99.95%,,,99.95%,,,99.95%,,,,,,,,,,,,,,,,,,,
,,B1,,,99.89%,799474817,800368973,99.92%,804441653,805101398,99.93%,746977935,747529406,99.93%,759394276,759907718,99.90%,764367973,765163974,99.94%,767882522,768338085,99.92%,752598636,753175824,99.91%,721944121,722566356,,,,99.94%,692229112,692612419,99.96%,712273994,712583875,99.95%,723386149,723772198,99.92%,670822206,671338613,,,,99.99%,988029834,988118207,99.99%,978367876,978460973,99.98%,1080644213,1080814956,99.98%,1080644213,1080814956,99.98%,1066197531,1066372209,99.99%,988723845,988808699,,,,99.98%,144926103,144949778,,,,74.52%,685148587,919389656,78.42%,734749931,936859333,,,,81.70%,770636518,943229265,78.50%,716105438,912155030,81.66%,732532329,898176562,83.57%,714221772,854549164,84.24%,258994852,307439339,83.67%,256655024,306719680,82.15%,773647445,941725745,87.44%,817658386,935086996,84.11%,838587957,996984151,87.75%,685462618,781112902,91.47%,514369390,562307331,91.49%,520670029,569099655,92.14%,469599875,509647545,90.63%,391883205,432383425,81.14%,,,80.44%,,,82.08%,,,84.89%,,,,,,,,,,,,,,,,,,,
,,C1,,,99.97%,707515383,707676752,99.92%,696840437,697357387,99.97%,694331194,694474768,99.97%,694331194,694474768,99.95%,739357207,739691101,99.95%,748342399,748657682,,,,99.90%,118198429,118307266,,,,99.97%,652595207,652727298,99.94%,719003554,719430969,,,,99.96%,715795661,716049875,99.94%,721824994,722239496,99.96%,705366190,705643070,99.95%,684550826,684859220,99.96%,181487857,181555727,99.85%,177418228,177499680,99.94%,726620696,726987558,99.91%,706721132,707311824,99.80%,745396065,746845126,99.73%,726855290,728798594,99.83%,737956278,739142292,99.81%,866177772,867744291,99.87%,848649815,849698861,99.9%,498637561,499110978,99.52%,,,99.82%,,,99.94%,,,99.83%,,,,,,,,,,,,,,,,,,,
,汇总,A1,,,0.98390628,,,0.9834080500000001,,,0.9842105700000001,,,0.9842105700000001,,,0.9869063,,,,,,,,,0.9818122500000002,,,,,,0.9839078,,,0.9852071499999999,,,,,,,,,,,,,,,,,,,,,0.96581352,,,0.9811648,,,0.98244495,,,0.9805608399999999,,,0.97300878,,,0.93483,,,0.9494520000000001,,,0.9885055,,,0.98610798,,,0.98560695,,,0.985507,,,0.9829083000000001,,,0.98440755,,,,,,,,,,,,,,,,,,,
,,B1,,,0.9896010299999999,,,0.9890010899999999,,,0.9887022200000001,,,0.9887022200000001,,,0.98940208,,,,,,,,,0.98690258,,,,,,0.72403632,,,0.764595,,,,,,,,,,,,,,,,,,,,,0.81553149,,,0.8003053000000001,,,0.80016344,,,0.81906318,,,0.844506,,,0.8513112899999999,,,0.8516804099999999,,,0.84059322,,,0.87086367,,,0.79492858,,,0.78171592,,,0.8027424,,,0.8296299699999999,,,,,,,,,,,,,,,,,,,
,,C1,,,0.99340189,,,0.99280512,,,0.99290204,,,0.99290204,,,0.9929033000000002,,,,,,,,,0.9916074000000001,,,,,,0.99360183,,,0.9934036,,,,,,,,,,,,,,,,,,,,,0.9959038999999998,,,0.9965017399999999,,,0.99300549,,,0.9893173999999999,,,0.95321934,,,0.95856766,,,0.9805334400000001,,,0.9955041600000001,,,0.9936054000000001,,,0.98883072,,,0.9918115200000001,,,0.9937034199999999,,,0.99250986,,,,,,,,,,,,,,,,,,,
"PR
固网",关联率,A1,,,99.45%,546913027,549925348,99.39%,537000529,540304977,99.15%,545380095,550035432,99.24%,542594100,546763016,99.19%,540383443,544811632,99.20%,513891379,518028664,99.09%,511199449,515898150,99.45%,499520204,502268947,99.44%,497779173,500562638,98.98%,539073370,544648321,99.12%,544122641,548939603,99.06%,545979902,551155052,98.71%,544742705,551844137,99.27%,571400247,575591705,99.21%,280068246,282272511,99.17%,275694004,277974643,98.82%,271841661,275071510,98.82%,271841661,275071510,98.66%,250030560,253424721,99.03%,200884830,202842297,98.83%,173177180,175220102,99.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.55%,297660847,305126142,98.88%,361060099,365142094,98.95%,350542639,354231615,99.28%,346482145,348985730,99.35%,422802990,425530503,99.02%,464915711,469496499,95.23%,444647501,466895570,85.05%,426831860,501846770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
