统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-18,00-23,210213,3716349053,3718748465,0.9993547797000569
nf固网关联率,2025-08-18,00-23,220214,2355811277,2358178634,0.9989961078580445
nf固网关联率,2025-08-18,00-23,230215,1663331509,1664614455,0.9992292833958359
nf移网关联率,2025-08-18,00-23,210213,1396122162,1416337830,0.9857268036115366
nf移网关联率,2025-08-18,00-23,220214,1300303369,1313225036,0.9901603558828282
nf移网关联率,2025-08-18,00-23,230215,873457388,878760110,0.9939656773906135
pr固网关联率,2025-08-18,00-23,210213,303234004,306054179,0.9907853733309095
pr固网关联率,2025-08-18,00-23,220214,542594100,546763016,0.9923752779942965
pr固网关联率,2025-08-18,00-23,230215,138317412,140525131,0.9842895076183917
pr移网关联率,2025-08-18,00-23,210213,81387454,81453782,0.9991856977248766
pr移网关联率,2025-08-18,00-23,220214,232807147,232912667,0.9995469546531791
pr移网关联率,2025-08-18,00-23,230215,57110571,57121258,0.9998129067815699
nf固网关联准确率,2025-08-18,00-23,210213,2181952338,2183136384,0.9994576399309371
nf固网关联准确率,2025-08-18,00-23,220214,1465317546,1467670780,0.9983966199831272
nf固网关联准确率,2025-08-18,00-23,230215,914448280,914933813,0.999469324454839
nf移网关联准确率,2025-08-18,00-23,210213,1174436560,1174880917,0.9996217854987937
nf移网关联准确率,2025-08-18,00-23,220214,1054398889,1054760442,0.9996572178993417
nf移网关联准确率,2025-08-18,00-23,230215,759394276,759907718,0.9993243363794866
pr固网关联准确率,2025-08-18,00-23,210213,199818203,199831274,0.9999345898180082
pr固网关联准确率,2025-08-18,00-23,220214,328249148,328408107,0.999515971145012
pr固网关联准确率,2025-08-18,00-23,230215,89460034,89486131,0.9997083682162994
pr移网关联准确率,2025-08-18,00-23,210213,66870660,66914797,0.9993404000015124
pr移网关联准确率,2025-08-18,00-23,220214,193044126,193091393,0.9997552091822135
pr移网关联准确率,2025-08-18,00-23,230215,49875606,49899715,0.9995168509479463
