统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-11,00-23,210213,3633130005,3635582649,0.9993253780104066
nf固网关联率,2025-08-11,00-23,220214,2268382815,2270137107,0.9992272308158875
nf固网关联率,2025-08-11,00-23,230215,1497278203,1498536646,0.9991602187351513
nf移网关联率,2025-08-11,00-23,210213,1348170654,1366828308,0.9863496725296094
nf移网关联率,2025-08-11,00-23,220214,1231263644,1243703639,0.9899976211294176
nf移网关联率,2025-08-11,00-23,230215,834115039,839219845,0.9939172005638165
pr固网关联率,2025-08-11,00-23,210213,282973603,285822351,0.9900331517460648
pr固网关联率,2025-08-11,00-23,220214,544122641,548939603,0.9912249690609406
pr固网关联率,2025-08-11,00-23,230215,139902579,141978504,0.9853785964669693
pr移网关联率,2025-08-11,00-23,210213,87819306,87882230,0.9992839963209855
pr移网关联率,2025-08-11,00-23,220214,239965902,240087797,0.9994922898975994
pr移网关联率,2025-08-11,00-23,230215,57678002,57687312,0.9998386126918168
nf固网关联准确率,2025-08-11,00-23,210213,2111487853,2112482328,0.9995292386654228
nf固网关联准确率,2025-08-11,00-23,220214,1435884561,1436744571,0.9994014176093936
nf固网关联准确率,2025-08-11,00-23,230215,885399926,886169569,0.9991314946631845
nf移网关联准确率,2025-08-11,00-23,210213,1129547958,1129959640,0.9996356666331906
nf移网关联准确率,2025-08-11,00-23,220214,1003210375,1003287864,0.9999227649383786
nf移网关联准确率,2025-08-11,00-23,230215,712273994,712583875,0.9995651304907791
pr固网关联准确率,2025-08-11,00-23,210213,171026861,171053179,0.9998461414154718
pr固网关联准确率,2025-08-11,00-23,220214,328436308,328566799,0.9996028478823875
pr固网关联准确率,2025-08-11,00-23,230215,88703741,88733355,0.9996662585337837
pr移网关联准确率,2025-08-11,00-23,210213,72197198,72248750,0.9992864651637572
pr移网关联准确率,2025-08-11,00-23,220214,198354148,198396063,0.9997887306866569
pr移网关联准确率,2025-08-11,00-23,230215,50079153,50100567,0.9995725796875712
