统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-06,00-23,210213,3430043744,3432750058,0.9992116192690194
nf固网关联率,2025-08-06,00-23,220214,2551522137,2553614897,0.9991804715728834
nf固网关联率,2025-08-06,00-23,230215,1657542413,1676988547,0.9884041342829755
nf移网关联率,2025-08-06,00-23,210213,1333344805,1353694731,0.9849671232856413
nf移网关联率,2025-08-06,00-23,220214,1288692522,1303036118,0.9889921731240914
nf移网关联率,2025-08-06,00-23,230215,796017187,801390250,0.9932953227219822
pr固网关联率,2025-08-06,00-23,210213,271841661,275071510,0.9882581478539889
pr固网关联率,2025-08-06,00-23,220214,230440676,233179434,0.9882547188960069
pr固网关联率,2025-08-06,00-23,230215,141973956,144095339,0.9852779207521765
pr移网关联率,2025-08-06,00-23,210213,86489023,86562434,0.9991519300393055
pr移网关联率,2025-08-06,00-23,220214,104774879,104804977,0.9997128189818696
pr移网关联率,2025-08-06,00-23,230215,58113431,58124369,0.9998118173119437
nf固网关联准确率,2025-08-06,00-23,210213,2036058447,2037404168,0.999339492369194
nf固网关联准确率,2025-08-06,00-23,220214,1496695120,1497881218,0.9992081494942678
nf固网关联准确率,2025-08-06,00-23,230215,796569676,797040294,0.9994095430261899
nf移网关联准确率,2025-08-06,00-23,210213,1114200148,1114883514,0.9993870516592821
nf移网关联准确率,2025-08-06,00-23,220214,1080644213,1080814956,0.9998420238366872
nf移网关联准确率,2025-08-06,00-23,230215,694331194,694474768,0.9997932624673845
pr固网关联准确率,2025-08-06,00-23,210213,173126267,173163277,0.9997862710810214
pr固网关联准确率,2025-08-06,00-23,220214,91309191,91338108,0.9996834070615958
pr固网关联准确率,2025-08-06,00-23,230215,89881754,89903114,0.9997624108993599
pr移网关联准确率,2025-08-06,00-23,210213,74295784,74349428,0.9992784880604596
pr移网关联准确率,2025-08-06,00-23,220214,78306424,78326195,0.9997475812529895
pr移网关联准确率,2025-08-06,00-23,230215,50386219,50406247,0.999602668296253
