统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-26,00-23,210213,424897897,425447979,0.9987070522669
nf固网关联率,2025-07-26,00-23,220214,507644279,516284776,0.9832640871827683
nf固网关联率,2025-07-26,00-23,230215,317605124,317885137,0.9991191378035394
nf移网关联率,2025-07-26,00-23,210213,1153375902,1169766077,0.9859885020413359
nf移网关联率,2025-07-26,00-23,220214,1098728815,1125223273,0.9764540437122651
nf移网关联率,2025-07-26,00-23,230215,815049350,819822611,0.9941776904711402
nf固网关联准确率,2025-07-26,00-23,210213,1663345414,1664112001,0.9995393417032391
nf固网关联准确率,2025-07-26,00-23,220214,1202229087,1421048644,0.8460154352042012
nf固网关联准确率,2025-07-26,00-23,230215,990066137,991165021,0.9988913208429295
nf移网关联准确率,2025-07-26,00-23,210213,962295199,962677617,0.9996027559036932
nf移网关联准确率,2025-07-26,00-23,220214,732532329,898176562,0.815577203850483
nf移网关联准确率,2025-07-26,00-23,230215,705366190,705643070,0.9996076203228355
