统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-23,00-23,210213,435451648,436032022,0.9986689647303014
nf固网关联率,2025-07-23,00-23,220214,529448164,539138887,0.9820255536492214
nf固网关联率,2025-07-23,00-23,230215,302887941,303204009,0.9989575731500305
nf移网关联率,2025-07-23,00-23,210213,270676426,274454015,0.9862359856531886
nf移网关联率,2025-07-23,00-23,220214,373920907,383612806,0.974735204747049
nf移网关联率,2025-07-23,00-23,230215,203400099,203921127,0.9974449533127581
nf固网关联准确率,2025-07-23,00-23,210213,246938719,247455046,0.9979134513183457
nf固网关联准确率,2025-07-23,00-23,220214,277091874,329120165,0.8419170365936102
nf固网关联准确率,2025-07-23,00-23,230215,188605346,188813291,0.9988986739286272
nf移网关联准确率,2025-07-23,00-23,210213,226206455,226275363,0.9996954683926416
nf移网关联准确率,2025-07-23,00-23,220214,256655024,306719680,0.8367739037808073
nf移网关联准确率,2025-07-23,00-23,230215,177418228,177499680,0.9995411146656715
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
