统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-17,00-23,210213,3431214971,3433540297,0.9993227614069269
nf固网关联率,2025-08-17,00-23,220214,2361715617,2364237937,0.9989331361448329
nf固网关联率,2025-08-17,00-23,230215,1744092551,1745545684,0.9991675193532202
nf移网关联率,2025-08-17,00-23,210213,1350531251,1371523049,0.9846945350168884
nf移网关联率,2025-08-17,00-23,220214,1258086405,1271045254,0.9898045730793469
nf移网关联率,2025-08-17,00-23,230215,865534875,870730613,0.9940328984390492
pr固网关联率,2025-08-17,00-23,210213,299417444,302077629,0.9911937040528083
pr固网关联率,2025-08-17,00-23,220214,545380095,550035432,0.991536296156281
pr固网关联率,2025-08-17,00-23,230215,137601356,139437773,0.9868298455971468
pr移网关联率,2025-08-17,00-23,210213,82550779,82604361,0.9993513417530099
pr移网关联率,2025-08-17,00-23,220214,230369452,230458520,0.9996135183025562
pr移网关联率,2025-08-17,00-23,230215,56201555,56210943,0.9998329862567863
nf固网关联准确率,2025-08-17,00-23,210213,2053839612,2055040368,0.9994157019887796
nf固网关联准确率,2025-08-17,00-23,220214,1473188518,1477382126,0.9971614601759436
nf固网关联准确率,2025-08-17,00-23,230215,999227159,1000262292,0.9989651384359094
nf移网关联准确率,2025-08-17,00-23,210213,1126843315,1127294233,0.9995999997278439
nf移网关联准确率,2025-08-17,00-23,220214,1021474104,1022369443,0.9991242510169585
nf移网关联准确率,2025-08-17,00-23,230215,746977935,747529406,0.9992622751752993
pr固网关联准确率,2025-08-17,00-23,210213,183705713,183745127,0.9997854963522379
pr固网关联准确率,2025-08-17,00-23,220214,327715533,327911720,0.9994017078743023
pr固网关联准确率,2025-08-17,00-23,230215,87906683,87928890,0.9997474436445177
pr移网关联准确率,2025-08-17,00-23,210213,67298874,67341857,0.9993617194132322
pr移网关联准确率,2025-08-17,00-23,220214,190217684,190258454,0.9997857125444738
pr移网关联准确率,2025-08-17,00-23,230215,48473347,48495689,0.9995392992560638
