统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-22,00-23,210213,3630785868,3633059249,0.9993742516033489
nf固网关联率,2025-08-22,00-23,220214,2236136093,2237991557,0.9991709244861999
nf固网关联率,2025-08-22,00-23,230215,1353542475,1355202910,0.9987747701929005
nf移网关联率,2025-08-22,00-23,210213,1195798275,1213875811,0.9851075902195402
nf移网关联率,2025-08-22,00-23,220214,1178576132,1191544619,0.9891162388774969
nf移网关联率,2025-08-22,00-23,230215,846596768,851727395,0.9939762099585866
pr固网关联率,2025-08-22,00-23,210213,343893418,346651409,0.9920439065632068
pr固网关联率,2025-08-22,00-23,220214,499520204,502268947,0.9945273483132534
pr固网关联率,2025-08-22,00-23,230215,134644177,136022396,0.9898677053152335
pr移网关联率,2025-08-22,00-23,210213,76532769,76643164,0.9985596236606307
pr移网关联率,2025-08-22,00-23,220214,224962010,225055773,0.9995833788276117
pr移网关联率,2025-08-22,00-23,230215,56126746,56136318,0.9998294865010562
nf固网关联准确率,2025-08-22,00-23,210213,2117680501,2118477949,0.9996235750292438
nf固网关联准确率,2025-08-22,00-23,220214,1227741504,1228527142,0.9993605041572619
nf固网关联准确率,2025-08-22,00-23,230215,830244090,830803409,0.9993267733450044
nf移网关联准确率,2025-08-22,00-23,210213,983557551,983946552,0.9996046523063582
nf移网关联准确率,2025-08-22,00-23,220214,942037221,942119571,0.999912590712968
nf移网关联准确率,2025-08-22,00-23,230215,721944121,722566356,0.9991388541760446
pr固网关联准确率,2025-08-22,00-23,210213,233803978,233896570,0.9996041327155845
pr固网关联准确率,2025-08-22,00-23,220214,306949699,307069593,0.9996095543071242
pr固网关联准确率,2025-08-22,00-23,230215,84761445,84796761,0.9995835218281509
pr移网关联准确率,2025-08-22,00-23,210213,61423343,61464769,0.9993260204069099
pr移网关联准确率,2025-08-22,00-23,220214,184690865,184733365,0.9997699386897435
pr移网关联准确率,2025-08-22,00-23,230215,47837003,47859803,0.9995236085698055
