统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-08-09,00-23,210213,3491514956,3493771894,0.9993540110606889
nf固网关联率,2025-08-09,00-23,220214,2123906973,2125770405,0.99912340862606
nf固网关联率,2025-08-09,00-23,230215,1288504105,1289646634,0.9991140759260106
nf移网关联率,2025-08-09,00-23,210213,1350040816,1371505318,0.9843496764334092
nf移网关联率,2025-08-09,00-23,220214,1219820624,1232509494,0.9897048500950533
nf移网关联率,2025-08-09,00-23,230215,818460836,823616003,0.9937408124888025
pr固网关联率,2025-08-09,00-23,210213,280068246,282272511,0.992191003678711
pr固网关联率,2025-08-09,00-23,220214,534067266,537718052,0.9932105943134675
pr固网关联率,2025-08-09,00-23,230215,138881306,140320147,0.9897460127375721
pr移网关联率,2025-08-09,00-23,210213,85364750,85419431,0.9993598529121553
pr移网关联率,2025-08-09,00-23,220214,236344971,236407636,0.999734928189883
pr移网关联率,2025-08-09,00-23,230215,57895362,57904141,0.9998483873545417
nf固网关联准确率,2025-08-09,00-23,210213,1790344029,1791431497,0.9993929614379221
nf固网关联准确率,2025-08-09,00-23,220214,1161061627,1161779063,0.9993824677833775
nf固网关联准确率,2025-08-09,00-23,230215,756144397,756689247,0.9992799554081677
nf移网关联准确率,2025-08-09,00-23,210213,1127726355,1128165036,0.9996111552955449
nf移网关联准确率,2025-08-09,00-23,220214,988029834,988118207,0.9999105643440491
nf移网关联准确率,2025-08-09,00-23,230215,707515383,707676752,0.9997719735747375
pr固网关联准确率,2025-08-09,00-23,210213,164213416,164234920,0.9998690656043185
pr固网关联准确率,2025-08-09,00-23,220214,312129735,312198948,0.9997783048263187
pr固网关联准确率,2025-08-09,00-23,230215,86431761,86465636,0.9996082258621217
pr移网关联准确率,2025-08-09,00-23,210213,71066563,71119361,0.9992576142521865
pr移网关联准确率,2025-08-09,00-23,220214,196324088,196368939,0.9997715982974272
pr移网关联准确率,2025-08-09,00-23,230215,50336069,50358843,0.9995477656228122
